,Similar_metric,DTW
p100_CIFAR10_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,2.499167383246097
p100_CIFAR10_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,g5_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,4.236265735673146
p100_CIFAR10_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize256_datasize256_total_epoch10_totaldata2000,3.1232735682907586
p100_CIFAR10_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,g5_CIFAR10_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,14.112710464654135
p100_CIFAR10_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,2.050286913136475
p100_CIFAR10_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_CIFAR10_CNN_batchsize64_datasize128_total_epoch10_totaldata5000,4.738432550525176
p100_CIFAR10_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,p3_VGG19_batchsize64_datasize224_total_epoch10_totaldata2000,5.062490420275452
p100_CIFAR10_CNN_batchsize64_datasize128_total_epoch10_totaldata5000,g4dn_CIFAR10_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,3.99722064290366
p100_InceptionV3_batchsize128_datasize256_total_epoch10_totaldata2000,g4dn_ResNet50_batchsize256_datasize128_total_epoch10_totaldata5000,0.976173998566215
p100_InceptionV3_batchsize256_datasize128_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize256_datasize256_total_epoch10_totaldata2000,5.8888533522775806
p100_InceptionV3_batchsize128_datasize224_total_epoch10_totaldata2000,g4dn_InceptionV3_batchsize128_datasize128_total_epoch10_totaldata5000,0.6336464621101533
p100_InceptionV3_batchsize64_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,0.6268625367690881
p100_InceptionV3_batchsize16_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,0.8909773544992774
p100_InceptionV3_batchsize64_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.5505708926013833
p100_InceptionV3_batchsize16_datasize256_total_epoch10_totaldata2000,p3_VGG19_batchsize128_datasize256_total_epoch10_totaldata2000,0.6587884471611384
p100_InceptionV3_batchsize32_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,0.6718140853292214
p100_InceptionV3_batchsize16_datasize224_total_epoch10_totaldata2000,p3_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,0.8362925599582602
p100_InceptionV3_batchsize128_datasize128_total_epoch10_totaldata5000,g5_ResNet50_batchsize32_datasize128_total_epoch10_totaldata5000,3.4546256186546533
p100_InceptionV3_batchsize256_datasize224_total_epoch10_totaldata2000,g4dn_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,0.6603366812717959
p100_InceptionV3_batchsize32_datasize256_total_epoch10_totaldata2000,p3_VGG19_batchsize128_datasize256_total_epoch10_totaldata2000,0.7010053282888795
p100_InceptionV3_batchsize32_datasize128_total_epoch10_totaldata5000,p3_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,0.7835019044490109
p100_InceptionV3_batchsize64_datasize128_total_epoch10_totaldata5000,p3_InceptionV3_batchsize16_datasize256_total_epoch10_totaldata2000,0.7920373850742862
